id,productId,name,rating,comment,approved,createdAt,productUrl,subject,productSlug
sJgGVJreX,,sharon a.,5,This soap work wonders,TRUE,2024-10-10T01:07:02.263Z,,Verified Purchase,turmeric-kojic-acid-soap
4Vw4ta2ZE,,marcia j.,5,This soap really helps my dark spot and discoloration,TRUE,2024-10-10T01:14:40.245Z,,Verified Purchase,turmeric-kojic-acid-soap
fWx5Jzv7R,,Shamara j.,5,You need to get this soap it clears up my acne in 2 weeks,TRUE,2024-10-13T01:09:57.675Z,,Verified Purchase,turmeric-kojic-acid-soap
Iyt1Fobo2,,Kaylee H.,5,"I've been using this turmeric and koji acid soap for a month now, and my skin has never looked better. It feels brighter and more even-toned. I love how gentle it is on my sensitive skin!",TRUE,2024-11-16T20:37:29.485Z,,Verified Purchase,turmeric-kojic-acid-soap
JRcNYNet2,,Radreka B.,5,"I'm all about natural skincare, and this soap fits the bill. The turmeric helps reduce redness, and the koji acid brightens my complexion! Highly recommend for anyone looking for natural skincare solutions",TRUE,2024-11-16T20:39:17.782Z,,Verified Purchase,turmeric-kojic-acid-soap
JC0xCtqu2,,Kayla B.,5,"I've dealt with oily skin for years, and this soap has helped regulate my oiliness without drying me out. My breakouts have reduced significantly, and I love how fresh my skin feels after washing.",TRUE,2024-11-16T20:42:57.172Z,,Verified Purchase,turmeric-kojic-acid-soap
TfnyWjqVE,,Olivia C.,5,This soap is really helping my discoloration,TRUE,2024-12-07T00:39:24.682Z,,Verified Purchase,turmeric-kojic-acid-soap
UpZN5imwCD,,Liam B.,5,This is my 3rd soap in 3 weeks,TRUE,2024-12-07T00:42:27.117Z,https://images.loox.io/uploads/2024/12/7/Z50SQMP05.jpg,Verified Purchase,turmeric-kojic-acid-soap
'-xnRkePfk,,Emma H.,5,I was skeptical at first when I saw the soap on the website but I’m so glad I bought it,TRUE,2024-12-07T00:45:14.849Z,,Verified Purchase,turmeric-kojic-acid-soap
zJn4kO9Rj,,Mega J.,5,This Soap clean up my discoloration and hyperpigmentation,TRUE,2025-02-27T03:20:27.558Z,,Customer Review,turmeric-kojic-acid-soap
mhrWgVTIA,,B R.,5,My son loves it finally a soap that doesn’t break him out and doesn’t dry his skin,TRUE,2025-03-07T16:07:58.109Z,,Verified Purchase,turmeric-kojic-acid-soap
24fSGXjw7,,J H.,5,"Lathers really nicely, definitely lives up to the other reviews. Essential for your skin care routine.",TRUE,2025-03-26T01:27:08.199Z,https://images.loox.io/uploads/2025/3/26/u15kxt6wc.jpg,Verified Purchase,turmeric-kojic-acid-soap
ZeCuFfmPf,,Remi L.,4,The shipping took a while that’s why I’m Giving it 4 start but it was worth the wait,TRUE,2025-03-29T01:23:53.181Z,,Verified Purchase,turmeric-kojic-acid-soap
cnoeKJGCL,,Mel,5,Thus is my 5th it’s works well with my acne,TRUE,2025-03-29T01:29:38.022Z,https://images.loox.io/uploads/2025/3/29/713HEwLQW.jpg,Verified Purchase,turmeric-kojic-acid-soap
hL_kJaCDaU,,Tamiya J.,5,"I love how my skin looks brighter, but be careful—this soap stains towels and surfaces due to the turmeric!",TRUE,2025-03-29T02:31:49.209Z,,Verified Purchase,turmeric-kojic-acid-soap
h0t2CHtnF,,Janel J.,5,".Visible Results in Two Weeks I wasn’t expecting much, but this soap really helped even out my skin. My dark knees and elbows have improved significantly.",TRUE,2025-03-29T02:35:08.522Z,,Verified Purchase,turmeric-kojic-acid-soap
QmZlPcTrW,,Remi M.,5,I highly Recommend this Soap it’s a very large soap and it comes with a exfoliating Gloves,TRUE,2025-05-30T13:52:55.134Z,,Customer Review,turmeric-kojic-acid-soap
h2J7tnOE7,,Jason K.,5,They soap cleared up my face so much,TRUE,2025-10-04T22:48:55.481Z,,Verified Purchase,turmeric-kojic-acid-soap
N2pcamwYV,,Dashia B.,5,I love love this soap it helps for it’s helps with eczema and I love the smells.,TRUE,2025-03-04T22:21:42.364Z,https://images.loox.io/uploads/2025/3/4/ar0Ha3Haw.jpg,Customer Review,jamaican-cerasee-soap
N6N7YwXNs,,Keisha G.,5,I love the smell of this soap it reminds me if the ceracee tea,TRUE,2025-04-01T12:34:50.410Z,,Verified Purchase,jamaican-cerasee-soap
oNFCwg1d0,,Jerome S.,5,5 stars,TRUE,2025-04-06T01:19:46.547Z,,Verified Purchase,jamaican-cerasee-soap
IqUkyeJwz,,Kayla M.,5,This work well in my psoriasis,TRUE,2025-04-06T01:20:28.796Z,,Verified Purchase,jamaican-cerasee-soap
bs0PqwBPE,,Shardal J.,5,The best body butter no cap,TRUE,2025-02-17T19:57:27.856Z,,Verified Purchase,turmeric-glow-up-brightening-body-butter
EJ2dylVNt,,Jermaine T.,5,You can’t go wrong with This oil,TRUE,2024-12-10T17:46:19.553Z,https://images.loox.io/uploads/2024/12/10/I7qk4KGUh.jpg,Verified Purchase,turmeric-glow-up-brightening-oil
